Id,Label
0,Vicky Kaushal
1,Paresh Rawal
2,Mohit Raina
3,Yami Gautam
4,Kirti Kulhari
5,Rajit Kapoor
6,Ivan Rodrigues
7,Manasi Parekh
8,Swaroop Sampat
9,Riva Arora
10,Vicky Ahuja
11,Shoaib Ibrahim
12,Shrikant Kamat
13,Elena Kazan
14,Vishwas Kini
15,Major Kishore
16,Jashn Kohli
17,Rammy C. Pandey
18,Manish Sharma
19,Sparsh Sharma
20,Anupam Kher
21,Akshaye Khanna
22,Aahana Kumra
23,Atul Sharma
24,Manoj Anand
25,Arjun Mathur
26,Suzanne Bernert
27,Abdul Quadir Amin
28,Bharat Mistri
29,Divya Seth
30,Emraan Hashmi
31,Shreya Dhanwanthary
32,Snighdadeep Chatterji
33,Navneet Srivastava
34,Nanda Yadav
35,
36,Mona Ambegaonkar
37,Ananth Narayan Mahadevan
38,Devansh Doshi
39,Arpit Chaudhary
40,Yamini Singh
41,Abhay Kulkarni
42,Veena Nair
43,Disha Thakur
44,Kala Ramanathan
45,Sushant Divgikar
46,Geetika Vidya Ohlyan
47,Saloni Batra
48,Vikas Shukla
49,Mohit Chauhan
50,Himanshu Kohli
51,Gauri Chakraborty
52,Mohinder Gujral
53,Upasya Goswami
54,Simrat Kaur
55,Dimple Kaur
56,Arshad Warsi
57,Saurabh Shukla
58,Flora Saini
59,Sara Loren
60,Varun Badola
61,Deepali Pansare
62,Nivedita Tiwari
63,Peeyush Suhaney
64,Preeti Sood
65,Parag Tyagi
66,Radhika Apte
67,Akshay Oberoi
68,Siddhanth Kapoor
69,Ravi Kishan
70,Adil Hussain
71,Shilpa Shukla
72,Ajinkya Deo
73,Amit Sial
74,Kangana Ranaut
75,Rimi Sen
76,Atul Kulkarni
77,Nalneesh Neel
78,Danny Denzongpa
79,Mishti
80,Kulbhushan Kharbanda
81,Mohammed Zeeshan Ayyub
82,Anil George
83,Vikram Kochhar
84,Nawazuddin Siddiqui
85,Amrita Rao
86,Sanjay Narvekar
87,Prakash Belawadi
88,Vineet Sharma
89,Radha Sagar
90,Sonamoni Jayant Gadekar
91,Satish Alekar
92,Micky Makhija
93,Ali Asgar
94,Vivan Bhatena
95,Nargis Fakhri
96,Sachiin Joshi
97,Shabnam Karimzada
98,Kevin Matadeen
99,Ranveer Singh
100,Alia Bhatt
101,Siddhant Chaturvedi
102,Vijay Raaz
103,Amruta Subhash
104,Vijay Varma
105,Kalki Koechlin
106,Ikhlaque Khan
107,Sheeba Chaddha
108,Jyoti Subhash
109,Prit Kamani
110,Simran Sharma
111,Anshuman Malhotra
112,Tushar Pandey
113,Vibha Anand
114,Jatin Goswami
115,Jagat Rawat
116,Sonal Jha
117,Shailesh Datar
118,Jayshankar Tripathi
119,Ajay Devgn
120,Madhuri Dixit
121,Anil Kapoor
122,Riteish Deshmukh
123,Javed Jaffrey
124,Esha Gupta
125,Boman Irani
126,Sanjay Mishra
127,Vijay Patkar
128,Sushant Singh Rajput
129,Bhumi Pednekar
130,Manoj Bajpayee
131,Ranvir Shorey
132,Ashutosh Rana
133,Gagandev Riar
134,Amitabh Bachchan
135,Taapsee Pannu
136,Amrita Singh
137,Antonio Aakeel
138,Tony Luke
139,Tanveer Ghani
140,Tariqsafdar Hussain
141,Mark Mansfield
142,Abhimanyu Dasani
143,Radhika Madan
144,Prateek Parmar
145,Satyajit Ganu
146,Talha Arshad Reshi
147,Vikas Kumar
148,Rasika Dugal
149,Sumit Kaul
150,Bashir Lone
151,Gurveer Singh
152,Ashraf Nagoo
153,Mir Sarwar
154,Qazi Faiz
155,Umar Adil
156,Sanya Malhotra
157,Sachin Khedekar
158,Denzil Smith
159,Brinda Trivedi
160,Lubna Salim
161,Rajesh Kumar Sharma
162,Shihaan Bakshi
163,Akash Sinha
164,Seema Pravin Shende
165,Garima Agarwal
166,Anupama
167,Parveen Bansala
168,Mahaveer Singh Fauji
169,Javed Haider
170,Shahbaaz Khan
171,Sachin Khari
172,Pramod Moutho
173,Aarun Nagar
174,Khyati Sharma
175,Rasika Agashe
176,Sonia Albizuri
177,Syna Anand
178,Adarsh Bharti
179,Makrand Deshpande
180,Om Kanojiya
181,Anjali Patil
182,Prasad
183,Nachiket Purnapatre
184,Barun Sobti
185,Rajit Kapur
186,Panchhi Bora
187,Kartikey Tripathi
188,Akshay Kumar
189,Parineeti Chopra
190,Suvinder Vicky
191,Vansh Bhardwaj
192,Sumeet Basran
193,Ajit Singh
194,Sandeep Nahar
195,Harwinder Singh Aujla
196,Rakesh Sharma
197,Adhrit Sharma
198,Zaheer Iqbal
199,Pranutan Bahl
200,Mir Mohammed Mehroos
201,Mir Mohammed Zayan
202,Soliha Maqbool
203,Baba Hatim
204,Adiba Bhat
205,Hafsa Ashraf
206,Madikha
207,Bareen
208,Vidyut Jammwal
209,Lars Kjeldsen
210,Deepika Amin
211,Kumar Kanchan Ghosh
212,Brijendra Kala
213,Jitendra Kumar
214,Mukesh Pandey
215,Santosh Rai
216,Vipin Sharma
217,Manav Kaul
218,Nandita Das
219,Naseeruddin Shah
220,Mithun Chakraborty
221,Shweta Basu Prasad
222,Pankaj Tripathi
223,Vinay Pathak
224,Mandira Bedi
225,Rajesh Sharma
226,Ankur Rathee
227,Varun Dhawan
228,Aditya Roy Kapoor
229,Sonakshi Sinha
230,Sanjay Dutt
231,Kunal Khemu
232,Pawan Chopra
233,Shreyas Talpade
234,Aftab Shivdasani
235,Sonnalli Seygall
236,Ishita Dutta
237,Pavan Malhotra
238,Manu Rishi Chadha
239,Anil Charanjeett
240,Pankaj Jha
241,Jameel Khan
242,Tiger Shroff
243,Ananya Panday
244,Tara Sutaria
245,Aditya Seal
246,Manoj Pahwa
247,Ayesha Raza
248,Rajesh Kumar
249,Manasi Joshi Roy
250,Samir Soni
251,Gul Panag
252,Vivek Oberoi
253,Barkha Bisht
254,Darshan Kumaar
255,Zarina Wahab
256,Manoj Joshi
257,Suresh Oberoi
258,Prashant Narayanan
259,Yatin Karyekar
260,Rajendra Gupta
261,Tabu
262,Rakul Preet Singh
263,Jimmy Sheirgill
264,Alok Nath
265,Madhumalti Kapoor
266,Harry Anton
267,Gergo Baranyi
268,Sammy John Heaney
269,Bhavin Bhanushali
270,Arjun Kapoor
271,Sudev Nair
272,Prasanth
273,Santilal Mukherjee
274,Gavie Chahal
275,Mohan Agashe
276,Mohan Joshi
277,Lom Harsh
278,Prabhu Deva
279,Tamannaah Bhatia
280,Bhoomika Chawla
281,Shahid Kapoor
282,Kiara Advani
283,Soham Majumdar
284,Arjan Bajwa
285,Kamini Kaushal
286,Nikita Dutta
287,Amit Sharma
288,Anurag Arora
289,Ayushmann Khurrana
290,Nassar
291,Kumud Mishra
292,Isha Talwar
293,Sayani Gupta
294,Subhrajyoti Barat
295,Sushil Pandey
296,Aakash Dabhade
297,Zakir Hussain
298,Murli Sharma
299,Deepshika Nagpal
300,Karanvir Bohra
301,Priya Banerjee
302,Hrithik Roshan
303,Mrunal Thakur
304,Nandish Singh
305,Virendra Saxena
306,Sadhana Singh
307,Aditya Srivastava
308,Sanket Deshpande
309,Vaibhav Gupta
310,Ali Haji
311,Mahie Gill
312,Pranati Rai Prakash
313,Sudhir Pandey
314,Supriya Pilgaonkar
315,Yashpal Sharma
316,Mukesh Tiwari
317,John Abraham
318,Nora Fatehi
319,Sonam Arora
320,Sahidur Rahaman
321,Manish Chaudhary
322,Anil Rastogi
323,Kranti Prakash Jha
324,Rishi Kapoor
325,Sunny Singh Nijjar
326,Omkar Kapoor
327,Nimisha Mehta
328,Rucha Vaidya
329,Lillete Dubey
330,Gurbachan Singh
331,Rajkummar Rao
332,Amyra Dastur
333,Amrita Puri
334,Natalia Janoszek
335,Nivedita Bhattacharya
336,Mukesh Hariawala
337,Aman Verma
338,Diljit Dosanjh
339,Kriti Sanon
340,Varun Sharma
341,Ronit Roy
342,Seema Bhargava
343,Amit Mehra
344,Sidharth Malhotra
345,Aparshakti Khurana
346,Rajeev Khandelwal
347,Abhimanyu Singh
348,Sameksha
349,Vikram Gokhale
350,Aniruddh Dave
351,Apoorva Arora
352,S.M. Zaheer
353,Zaira Wasim
354,Priyanka Chopra
355,Farhan Akhtar
356,Rohit Saraf
357,Vidya Balan
358,Nithya Menon
359,H.G. Dattatreya
360,Sharman Joshi
361,Sanjay Kapoor
362,Dalip Tahil
363,Jacqueline Fernandez
364,Shraddha Kapoor
365,Prabhas
366,Jackie Shroff
367,Neil Nitin Mukesh
368,Chunky Pandey
369,Arun Vijay
370,Mahesh Manjrekar
371,Evelyn Sharma
372,Nushrat Bharucha
373,Annu Kapoor
374,Raj Bhansali
375,Manjot Singh
376,Richa Chadha
377,Meera Chopra
378,Rahul Bhat
379,Shriswara
380,Kishore Kadam
381,Kruttika Desai
382,Sandhya Mridul
383,Shrikant Yadav
384,Vibhawari Deshpande
385,Sonam Kapoor
386,Dulquer Salmaan
387,Karan Deol
388,Sahher Bambba
389,Simone Singh
390,Ali Fazal
391,Manisha Koirala
392,Satyajeet Dubey
393,Bhavesh Kumar
394,Girish Kulkarni
395,Akhilendra Mishra
396,Asif Basra
397,Neha Joshi
398,Sanaya Irani
399,Shivam Bhaargava
400,Vikram Bhatt
401,Ameet Chana
402,Ananya Sengupta
403,Caroline Wilde
404,Monisha Hassen
405,Sunita Rajwar
406,Abhishek Banerjee
407,Deepika Chikhalia
408,Prateik
409,Anita Raj
410,Ishita Raj
411,Subha Rajput
412,Natasha Stankovic
413,Bobby Deol
414,Pooja Hegde
415,Kriti Kharbanda
416,Rana Daggubati
417,Sharad Kelkar
418,Prakash Jha
419,Viineet Kumar
420,Mouni Roy
421,Gajraj Rao
422,Sumeet Vyas
423,Maanvi Gagroo
424,Atul Kumar
425,Grusha Kapoor
426,Gagan Arora
427,Karishma Sharma
428,Adah Sharma
429,Taher Shabbir
430,Shama Sikander
431,Suraj Pancholi
432,Anil Reji
433,Tannishtha Chatterjee
434,Divya Dutta
435,Sanjay Suri
436,Govind Namdeo
437,Joy Sengupta
438,Sailesh Dubey
439,Bachan Pachehra
440,Athiya Shetty
441,Vibha Chhibber
442,Sanjeev Vatsa
443,Bhumika Dube
444,Devansh Kumar
445,Adi Irani
446,Vikas Anand
447,Kiran Kumar
448,Anil Nagrath
449,Sagarika Neha
450,Laxman Singh Rajput
451,Pradeep Kabra
452,Shilpa Gandhi
453,Jai Yadav
454,Ileana D'Cruz
455,Urvashi Rautela
456,Jamie-Lee Beacher
457,Vikrant Massey
458,Konkona Sen Sharma
459,Parambrata Chattopadhyay
460,Supriya Pathak
461,Vineet Kumar
462,Sarika Singh
463,Vardhan Puri
464,Jessey Lever
465,Sanjana Sanghi
466,Sahil Vaid
467,Kartik Aaryan
468,Angira Dhar
469,Sumeet Thakur
470,Mark Bennington
471,Simran Kaur
472,Atharva Vishwakarma
473,Abhilash Chaudhary
474,Feryna Wazheir
475,Rani Mukerji
476,Shruti Bapna
477,Salman Khan
478,Sudeep
479,Ashwami Manjrekar
480,Nawab Shah
481,Arbaaz Khan
482,Saiee Manjrekar
483,Pramod Khanna
484,Kareena Kapoor
485,Tisca Chopra
486,Gulshan Grover
487,Tanmay Dhanania
488,Anjana Sukhani
489,Yukta Mookhey
490,Auritra Ghosh
491,Saif Ali Khan
492,Kay Kay Menon
493,Raima Sen
494,Sharib Hashmi
495,Rishi Bhutani
496,Herry Tangiri
497,Vaishnavi Dhanraj
498,Swati Rajput
499,Antara Srivastava
500,Rahul Kapoor
501,Suparna Krishna
502,Pitobash
503,Sameer Sharma
504,Zenia Starr
505,Ashmit Patel
506,Manjari Fadnnis
507,Manisha Kelkar
508,Geetanjali Mishra
509,Astad Kale
510,Rajkumar Kanojia
511,Shilpa Kadam
512,Feroz Bhagat
513,Dinesh Lamba
514,Zoya Hussain
515,Rajesh Tailang
516,Shreedhar Dubey
517,Shakti Kumar
518,Chittaranjan Tripathy
519,Sukhesh Mishra
520,Tillotama Shome
521,Alankrita Sahai
522,Raghuvir Yadav
523,Ratna Pathak Shah
524,Rekha Bhardwaj
525,Kunaal Roy Kapur
526,Arunoday Singh
527,Pooja Chopra
528,Juhi Babbar
529,Deepika Padukone
530,Aditi Rao Hydari
531,Jim Sarbh
532,Anupriya Goenka
533,Raza Murad
534,Ujjwal Chopra
535,Komal Chhabria
536,Lankesh Bhardwaj
537,Geetanjali Thapa
538,Zain Khan Durrani
539,Shray Rai Tiwari
540,Saheb Bhattacharjee
541,Chandrayee Ghosh
542,Saurav Das
543,Debopriya
544,Sahil Agarwal
545,Shefali Chauhan
546,Akshay Anand
547,Kabir Bedi
548,Hitesh Bhardwaj
549,Abhay Bhargav
550,Ravi Raj Kande
551,Viju Khote
552,Usha Nadkarni
553,Chetna Pande
554,Daya Shankar Pandey
555,Raghu Raja
556,Pulkit Samrat
557,Satish Kaushik
558,Supriya Karnik
559,Yuvika Chaudhry
560,Payal Rajput
561,Rajesh Bakshi
562,Abhishek Duhan
563,Sumeet Samnani
564,Rajesh Jais
565,Lee Byford
566,Vaunisha Kapoor
567,Lee Nicholas Harris
568,Ty Hurley
569,Shaad Randhawa
570,Saqib Saleem
571,Nidhi Singh
572,Srishti Shrivastava
573,Ayesha Kaduskar
574,Abhilash Thapliyal
575,Santosh Barmola
576,Aisha Ahmed
577,Tarun Anand
578,Gopal Das
579,Mallhar Goenka
580,Saunskruti Kher
581,Omkar Kulkarni
582,Masumeh Makhija
583,Himanshu Malik
584,Sachin
585,Neeraj Kabi
586,Jannat Zubair Rahmani
587,Harsh Mayar
588,Leena Acharya
589,Naveen Kaushik
590,Kali Prasad Mukherjee
591,Priyanka Setia
592,Jaswinder Gardner
593,Shruti Chandana
594,Ashu Sharma
595,Disha Patani
596,Randeep Hooda
597,Deepak Dobriyal
598,Banita Sandhu
599,Gitanjali Rao
600,Sahil Vedoliyaa
601,Isha Chaturvedi
602,Prateek Kapoor
603,Iteeva Pandey
604,Karamveer Kanwar
605,Ashish Ghosh
606,Rachica Oswal
607,Gajaraj
608,Ramya Nambeeshan
609,Indhuja Ravichandran
610,Ishaan Khattar
611,Malavika Mohanan
612,Goutam Ghose
613,Sharada
614,Shashank Shende
615,Hema Singh
616,Akash Gopal
617,Dhwani Rajesh
618,Amruta Santosh Thakur
619,Abhay Deol
620,Patralekhaa Paul
621,Himani Shivpuri
622,Shefali Rana
623,Sapna Choudhary
624,Shreya Narayan
625,Yogesh Raj Mishra
626,Satwant Kaur
627,Shishir Sharma
628,Ashwath Bhatt
629,Jaideep Ahlawat
630,Arif Zakaria
631,Amruta Khanvilkar
632,Kanwaljit Singh
633,Aman Vasishth
634,Kabir Sajid
635,Virti Vaghani
636,Sonali Kulkarni
637,Aamir Bashir
638,Naveen Kasturia
639,Beena Banerjee
640,Neha Chauhan
641,Tina Sood
642,Pawan Mahendru
643,Mantra Mugdh
644,Suneeta Sengupta
645,Alka Amin
646,Diana Penty
647,Anuja Sathe
648,Yogendra Tiku
649,Aditya Hitkari
650,Ajay Shankar
651,Darshan Pandya
652,Ekavali Khanna
653,Maya Sarao
654,Miraya Suri
655,Prisha Dabbas
656,Sahra Khan Sahibi
657,Harshvardhan Kapoor
658,Priyanshu Painyuli
659,Ashish Verma
660,Shreiyah Sabharwal
661,Pratap Phad
662,Chinmay Mandlekar
663,Nishikant Kamat
664,Ram Kishan Dhakad
665,Hrishikesh Joshi
666,Shriya Saran
667,Achyut Potdar
668,Deep Raj Rana
669,Daisy Shah
670,Freddy Daruwala
671,Janhvi Kapoor
672,Aditya Kumar
673,Kharaj Mukherjee
674,Ankit Bisht
675,Shalini Kapoor
676,Aishwarya Narkar
677,Usha Shree
678,Sartaj Ansari
679,Ranbir Kapoor
680,Dia Mirza
681,Anushka Sharma
682,Karishma Tanna
683,Chitrangda Singh
684,Deepak Tijori
685,Pamela Singh Bhutoria
686,Soha Ali Khan
687,Nafisa Ali
688,Dharmesh Yelande
689,Punit Pathak
690,Raghav Juyal
691,Isha Rikhi
692,Neena Gupta
693,Ashrut Jain
694,Simran Nisha
695,Sheetal Thakur
696,Manav Vij
697,Aanchal Chauhan
698,Sunny Hinduja
699,Vijayant Kohli
700,Lokesh Mittal
701,Jitendra Gupta
702,Irrfan Khan
703,Mithila Palkar
704,Amala Akkineni
705,Akash Khurana
706,Donna Munshi
707,Abir Abrar
708,Siddharth Menon
709,Kunal Kapoor
710,Amit Sadh
711,Sunny Kaushal
712,Andrew Havill
713,Manjit Singh
714,Christopher James Burton
715,Aisha Sharma
716,Myrah Dandekar
717,Devdutta Nage
718,Piyush Mishra
719,Jassie Gill
720,Jason Tham
721,Bijou Thaangjam
722,Jeeveshu Ahluwalia
723,Utkarsh Sharma
724,Ishita Chauhan
725,Ayesha Jhulka
726,Dharmendra
727,Sunny Deol
728,Asrani
729,Binnu Dhillon
730,Atul Srivastava
731,Arjun Rampal
732,Sonu Sood
733,Gurmeet Choudhary
734,Siddhant Kapoor
735,Harshvardhan Rane
736,Luv Sinha
737,Avinash Tiwary
738,Tripti Dimri
739,Abrar Qazi
740,Sahiba Bali
741,Benjamin Gilani
742,Parmeet Sethi
743,Farhana Bhat
744,Shagufta Ali
745,Shahana Goswami
746,Om Singh
747,Shruti Sharma
748,Robin Das
749,Durga Sharma Shrivastva
750,Paoli Dam
751,Vipin Katyal
752,Tathastu
753,Sunil Grover
754,Namit Das
755,Saanand Verma
756,Usha Nagar
757,Dev Rajora
758,Divyendu Sharma
759,Sushmita Mukherjee
760,Abhishek Bharate
761,Riya Sisodiya
762,Kiran Khoje
763,Saroj Sharma
764,Bhavik Jain
765,Sonali Jain
766,Rahul Goyal
767,Sai Tamhankar
768,Tahir Raj Bhasin
769,Nazma Ali Shaikh
770,Ashwini Giri
771,Neeraj Sood
772,Purab Kohli
773,Swanand Kirkire
774,Vihaan Das Maskara
775,Manish Anand
776,Raj Babbar
777,Juby Devasia
778,Lata Gandi
779,Gurbani
780,Bikramjeet Kanerwal
781,Mustaq Khan
782,Ehsaas Madan
783,Abhishek Bachchan
784,Jasmin Bajwa
785,Ashnoor Kaur
786,Swairaj Sandhu
787,Neelu Kohli
788,Poonam Shah
789,Priyanka Shah
790,Sukhmani Sadana
791,Jackky Bhagnani
792,Kritika Kamra
793,Perlene Bhersaina
794,Rishi Panchal
795,Neha Reddy
796,Siddharth Bhardwaj
797,Anirban Bhattacharyya
798,Jeetendra Shastri
799,Komal Singh
800,Danish Husain
801,Rohan Vinod Mehra
802,Karan Singh Chhabra
803,Rhea Chakraborty
804,Varun Mitra
805,Digangana Suryavanshi
806,Arya Poorti
807,Mahesh Thakur
808,Govinda
809,Prabhleen Sandhu
810,Sohum Shah
811,Jyoti Malshe
812,Anita Date
813,Ronjini Chakraborty
814,Deepak Damle
815,Kajol
816,Riddhi Sen
817,Tota Roy Chowdhury
818,Neha Dhupia
819,Joakim Skarli
820,Shreya Mehta
821,Sonia Goswami
822,Hiten Patel
823,Anil Dhawan
824,Ashwini Kalsekar
825,Chhaya Kadam
826,Rashmi Agdekar
827,Abhishek Shukla
828,Surekha Sikri
829,Shardul Rana
830,Rahul Tewari
831,Arun Kalra
832,Bo Derek
833,Candy Clark
834,Anneliese van der Pol
835,Mariana Paola Vicente
836,Saru Maini
837,Robert Palmer Watkins
838,Dawn Richard
839,Aishwarya Devan
840,Shahnawaz Khan
841,Zara Khan
842,Mugdha Meharia
843,Tina Desai
844,Manish Vatssalya
845,Govind Namdev
846,Shubhangi Gokhale
847,Scarlett Mellish Wilson
848,Nisa Deys
849,Shakti Kapoor
850,Poonam Pandey
851,Sonal Chauhan
852,Rajdeep Choudhury
853,Sudip Sarangi
854,Sachin Parikh
855,Sakshi Tanwar
856,Mithilesh Chaturvedi
857,Seema Azmi
858,Rahul Bagga
859,Pihu Myra Vishwakarma
860,Preity Zinta
861,Ameesha Patel
862,Amit Mistry
863,Hemant Pandey
864,Mukesh Chhabra
865,Nirmal Rishi
866,Anirudh Tanwar
867,Harish Khanna
868,Shah Rukh Khan
869,Katrina Kaif
870,Madhavan
871,Sara Ali Khan
872,Siddarth Jadhav
873,Vaidehi Parshurami
874,Ulka Gupta
875,Suchitra Bandekar
876,Sulabha Arya
877,Zachary Coffin
878,Angad Bedi
879,Danish Bhatt
880,Ryan Sturz
881,Tusshar Kapoor
882,Prakash Raj
883,Johnny Lever
884,Prachee Shah Paandya
885,Upasna Singh
886,Rajpal Yadav
887,Kitu Gidwani
888,Vibhoutee Sharma
889,Sanjay Gurbaxani
890,Jasmeet Singh Bhatia
891,Paul Varghese
892,Dipannita Sharma
893,Rohit Roy
894,Narendra Jha
895,Suresh Menon
896,Raj Arjun
897,Shubham Chintamani
898,Shubham Tukaram
899,Yug
900,Sagar
901,Loveleen Mishra
902,Utkarsh Mazumdar
903,Prasoon Narayan
904,Avinash Razdan
905,Aamir Khan
906,Fatima Sana Shaikh
907,Lloyd Owen
908,Joe Azzopardi
909,Terence J. Rotolo
910,Sharat Saxena
911,Gurmeet Ram Rahim Singh
912,Honeypreet Insan
913,Arsh Bajwa
914,Richa Meena
915,Inder Pal Singh
916,Om Puri
917,Rahul Singh
918,Milind Gunaji
919,Sagarika Ghatge
920,Rumana Molla
921,Nikhil Pandey
922,Prashantt Guptha
923,Diwakar Kumar
924,Kuldeep Sareen
925,Saharsh Kumar Shukla
926,Rushad Rana
927,Shriswara Dubey
928,Nana Patekar
929,Priyanshu Chatterjee
930,Himansh Kohli
931,Prem Chopra
932,Rati Agnihotri
933,Aayam Mehta
934,Hannah Panneriy
935,Roma Bali
936,Rituraj Singh
937,Yash Sinha
938,Rajendra Sethi
939,Brahma Mishra
940,Leena Prabhu
941,Shiladitya Sen
942,Rahul Patel
943,Rahul Dutta
944,Vishwas
945,Girish
946,Malay Garg
947,Rajiv Khanna
948,Yogendra Vikram Singh
949,Richa Sharma
950,Sweta Sharma
951,Chandrachur Singh
952,Rajat Kapoor
953,Shiv Panditt
954,Lushin Dubey
955,Suraj Sharma
956,Mehreen Pirzada
957,Salima Raza
958,Nidhi Bisht
959,Sunil Mehra
960,Rishabh Arora
961,Mustafa Burmawala
962,Shabbir Burmawala
963,Carla Dennis
964,Mridanjali Rawal
965,Shaurya Singh
966,Karhan Dev
967,Jashan Singh Kohli
968,Priyanka Shukla
969,Manoj Bakshi
970,Swara Bhaskar
971,Mayur More
972,Harsh Hansraj
973,Ishtiyak Khan
974,Vishwa Bhanu
975,Suman Patel
976,Prithviraj Sukumaran
977,Madhurima Tuli
978,Lalit Behl
979,Geetanjali Kulkarni
980,Palomi Ghosh
981,Navnindra Behl
982,Anil K. Rastogi
983,Pallavi Sharda
984,Gauhar Khan
985,Sunny Leone
986,Chloé Booyens
987,Rudhraksh Jaiswal
988,Suchitra Pillai
989,Sippora Zoutewelle
990,Smita Tambe
991,Vaibhav Raj Gupta
992,Hema Malini
993,Vinod Khanna
994,Rajesh Shringarpure
995,Raveena Tandon
996,Madhur Mittal
997,Saheem Khan
998,Piyush Kaushik
999,Kuldeep Sharma
1000,Alisha Khan
1001,Divya Jagdale
1002,Rohini Hattangadi
1003,Bharat Dabholkar
1004,Amardeep Insan
1005,Ashok Insan
1006,Divya Insan
1007,Ishwar Insan
1008,Jaswinder Insan
1009,Manoj Insan
1010,Rajesh Insan
1011,Rakesh Insan
1012,Raman Insan
1013,Randhir Insan
1014,Dalip Sondhi
1015,Greg Kriek
1016,Anisa Butt
1017,Carishma Basday
1018,Seema Biswas
1019,Paula McGlynn
1020,Anirban Chakraborty
1021,Malvika Sitlani
1022,Nishant Dahiya
1023,Chandrachoor Rai
1024,Amrita Bagchi
1025,Aarnaa Sharma
1026,Rajatabha Dutta
1027,Sachin Tendulkar
1028,Mayuresh Pem
1029,Saba Qamar
